id,name,company,role,channel,public_contact,source_url,personalization,status,contacted_at,next_action_at,replied_at,interviewed_at,pain_score,payment_intent,notes
DS-001,,Makrops,Founder/Business Development,LinkedIn,,https://makrops.com/,Türkiye ve yurt dışındaki girişimlere ürün geliştirme hizmeti,ready,,,,,,,Kişi adı doğrulanmadan gönderme
DS-002,,TURUSA Development & Digital Agency,Founder/Business Development,LinkedIn,,https://turusa.com/,SaaS projeleri ve ABD lojistik odağı,ready,,,,,,,Kişi adı doğrulanmadan gönderme
DS-003,,TURKSAAS Yazılım ve Mühendislik,Founder/Business Development,LinkedIn,,https://turksaas.com/,Sektörel bulut ve SaaS çözümleri,ready,,,,,,,Kişi adı doğrulanmadan gönderme
DS-004,,Pusula Yazılım,Export/Sales,LinkedIn,,https://www.pusulayazilim.com.tr/,Birden fazla ülkeye yazılım sunması,ready,,,,,,,Kişi adı doğrulanmadan gönderme
DS-005,,DX Türkiye,Founder/Business Development,Email,hello@dxturkiye.com,https://dxturkiye.com/,SaaS ve dijital dönüşüm odağı,ready,,,,,,,Kamuya açık kurumsal adres; gönderim öncesi canlı siteyi kontrol et
DS-006,,Dehasoft,Founder/Business Development,Research,,https://www.dehasoft.com.tr/hakkimizda/,Özel yazılım B2B e-ticaret ve ERP entegrasyonları,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı
DS-007,,Lime Yazılım,Founder/Business Development,Research,,https://www.lime.com.tr/tr/about,AI ve SaaS odağı ile küresel ürün hedefi,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı
DS-008,,İstanbul Yazılım Şirketi,Founder/Business Development,Research,,https://www.istanbulyazilimsirketi.com.tr/hakkimizda/,B2B özel geliştirme ve e-ticaret çözümleri,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı
DS-009,,Jettel,Founder/Business Development,Research,,https://jettel.com.tr/hakkimizda,Bulut santral ve çağrı merkezi SaaS çözümleri,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı
DS-010,,İyazılım,Founder/Business Development,Research,,https://www.iyazilim.com/sayfa/hakkimizda,Türkiye ve global pazar için ölçeklenebilir yazılım hedefi,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı
DS-011,,Harmony ERP,Founder/Business Development,Research,,https://www.harmonyerp.com.tr/hakkimizda/,Bulut tabanlı SaaS ERP ürünü ve global rekabet odağı,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı
DS-012,,SA Yazılım,Founder/Business Development,Research,,https://www.sayazilim.com/hakkimizda,İşletmelere özel yazılım çözümleri,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı
DS-013,,Most Idea Yazılım,Founder/Business Development,Research,,https://www.mostidea.com.tr/hakkimizda,Özel yazılım SaaS bulut ve dijital dönüşüm hizmetleri,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı
DS-014,,Logitera,Founder/Business Development,Research,,https://logitera.com.tr/hakkimizda/,Yerli iş yazılımları ve dijital dönüşüm hizmetleri,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı
DS-015,,Bilsag Bilişim,Founder/Business Development,Research,,https://www.bilsag.net/,Web mobil özel sistem ve SaaS çözümleri,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı
DS-016,,Pars Yazılım,Founder/Business Development,Research,,https://parsyazilim.com/hakkimizda,ABD Hollanda ve Türkiye müşterilerine yazılım üretmesi,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı
DS-017,,Reel Ajans,Founder/Business Development,Research,,https://reelajans.com/iletisim/,Bilişim tasarım ve yazılım çözümleri,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı
DS-018,,Yazılımer Teknoloji,Founder/Business Development,Research,,https://www.yazilimer.com/,E-ticaret kurumsal ve masaüstü yazılım hizmetleri,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı
DS-019,,Delta Dijital Ajans,Founder/Business Development,Research,,https://www.deltadijitalajans.com/,Yazılım e-ticaret ve dijital pazarlama hizmetleri,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı
DS-020,,KüçükOfis,Founder/Business Development,Research,,https://www.kucukofis.com/,Dijital ürün yazılım performans ve analiz odağı,research,,,,,,,Resmî site Ağustos 2026'da doğrulandı

